instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
conan-8,Submitted,54,260181,260181,0.0,
conan-12,Submitted,1,3931,3931,0.0,
conan-11,Submitted,33,162988,162988,0.0,
conan-5,Submitted,57,279583,279583,0.0,
conan-14,Submitted,5,7579,7579,0.0,
conan-16,Submitted,4,5188,5188,0.0,
conan-13,Submitted,12,42286,42286,0.0,
conan-17,Submitted,5,7297,7297,0.0,
conan-20,Submitted,31,153995,153995,0.0,
conan-15,Submitted,52,296612,296612,0.0,
conan-21,Submitted,4,5629,5629,0.0,
conan-19,Submitted,37,179484,179484,0.0,
conan-22,Submitted,7,22132,22132,0.0,
conan-18,Submitted,39,281489,281489,0.0,
conan-24,Submitted,21,67439,67439,0.0,
conan-27,Submitted,4,5336,5336,0.0,
conan-26,Submitted,30,138329,138329,0.0,
conan-25,Submitted,29,146101,146101,0.0,
conan-28,Submitted,17,54750,54750,0.0,
conan-23,Submitted,56,434351,434351,0.0,
conan-29,Submitted,21,78172,78172,0.0,
conan-32,Submitted,4,5010,5010,0.0,
conan-31,Submitted,2,5914,5914,0.0,
conan-34,Submitted,5,7718,7718,0.0,
conan-30,Submitted,12,26824,26824,0.0,
conan-33,Submitted,9,10866,10866,0.0,
conan-36,Submitted,15,55361,55361,0.0,
conan-35,Submitted,30,142416,142416,0.0,
conan-40,Submitted,2,4674,4674,0.0,
conan-41,Submitted,2,1535,1535,0.0,
conan-38,Submitted,44,168255,168255,0.0,
conan-42,Submitted,23,129992,129992,0.0,
conan-37,Submitted,65,354821,354821,0.0,
conan-39,Submitted,41,358624,358624,0.0,
conan-45,Submitted,3,3394,3394,0.0,
conan-43,Submitted,16,69560,69560,0.0,
django-0,Submitted,16,23329,23329,0.0,
conan-44,Submitted,36,152493,152493,0.0,
conan-47,Submitted,43,272225,272225,0.0,
django-1,Submitted,40,164477,164477,0.0,
django-3,Submitted,25,68482,68482,0.0,
django-5,Submitted,1,2653,2653,0.0,
django-2,Submitted,36,192433,192433,0.0,
django-6,Submitted,29,80721,80721,0.0,
conan-46,Submitted,81,736662,736662,0.0,
django-7,Submitted,27,53547,53547,0.0,
django-4,Submitted,48,245337,245337,0.0,
django-11,Submitted,1,1819,1819,0.0,
django-12,OSError,6,9191,9191,0.0,
django-9,Submitted,23,66943,66943,0.0,
django-10,Submitted,16,31161,31161,0.0,
django-8,Submitted,29,86112,86112,0.0,
django-15,Submitted,4,5334,5334,0.0,
django-16,Submitted,34,99345,99345,0.0,
django-13,Submitted,52,267085,267085,0.0,
django-14,Submitted,60,325669,325669,0.0,
django-20,Submitted,2,1937,1937,0.0,
django-21,Submitted,7,6221,6221,0.0,
django-18,Submitted,27,99019,99019,0.0,
django-17,Submitted,76,497804,497804,0.0,
django-22,Submitted,38,114380,114380,0.0,
django-19,Submitted,52,299998,299998,0.0,
django-25,Submitted,7,11924,11924,0.0,
django-24,Submitted,28,106181,106181,0.0,
django-26,Submitted,5,7252,7252,0.0,
django-28,Submitted,10,10743,10743,0.0,
django-30,Submitted,1,734,734,0.0,
django-23,Submitted,60,408211,408211,0.0,
django-31,Submitted,1,639,639,0.0,
django-27,Submitted,9,10334,10334,0.0,
django-32,Submitted,1,785,785,0.0,
django-34,Submitted,1,856,856,0.0,
django-35,Submitted,5,5835,5835,0.0,
django-36,Submitted,7,18502,18502,0.0,
django-37,Submitted,2,2396,2396,0.0,
django-33,Submitted,19,46905,46905,0.0,
django-38,Submitted,4,5892,5892,0.0,
django-29,Submitted,28,68318,68318,0.0,
django-42,Submitted,4,6235,6235,0.0,
django-40,Submitted,8,14989,14989,0.0,
django-39,Submitted,28,78899,78899,0.0,
django-43,Submitted,26,149159,149159,0.0,
django-41,Submitted,33,160411,160411,0.0,
django-44,Submitted,21,99542,99542,0.0,
flask-0,Submitted,1,2185,2185,0.0,
django-47,Submitted,18,33998,33998,0.0,
flask-1,Submitted,4,4666,4666,0.0,
django-45,Submitted,34,125105,125105,0.0,
flask-3,Submitted,5,10626,10626,0.0,
flask-2,Submitted,9,14239,14239,0.0,
flask-6,Submitted,4,5788,5788,0.0,
flask-4,Submitted,5,11400,11400,0.0,
django-46,Submitted,31,133439,133439,0.0,
flask-5,Submitted,8,20296,20296,0.0,
flask-7,Submitted,6,8315,8315,0.0,
flask-8,Submitted,1,2130,2130,0.0,
flask-9,Submitted,4,4853,4853,0.0,
flask-10,Submitted,8,44281,44281,0.0,
flask-11,Submitted,1,1797,1797,0.0,
flask-12,Submitted,4,4665,4665,0.0,
flask-14,Submitted,6,7262,7262,0.0,
flask-13,Submitted,2,2975,2975,0.0,
flask-15,Submitted,6,11337,11337,0.0,
flask-17,Submitted,3,3027,3027,0.0,
flask-16,Submitted,5,9177,9177,0.0,
flask-19,Submitted,4,5705,5705,0.0,
flask-20,Submitted,2,2226,2226,0.0,
flask-18,Submitted,4,6558,6558,0.0,
flask-21,Submitted,6,14993,14993,0.0,
flask-23,Submitted,3,3664,3664,0.0,
flask-25,Submitted,6,12302,12302,0.0,
flask-26,Submitted,3,2752,2752,0.0,
flask-24,Submitted,5,7265,7265,0.0,
flask-22,Submitted,3,4857,4857,0.0,
flask-28,Submitted,2,1540,1540,0.0,
flask-27,Submitted,6,11013,11013,0.0,
flask-31,Submitted,3,3454,3454,0.0,
flask-32,Submitted,2,1540,1540,0.0,
flask-34,Submitted,1,605,605,0.0,
flask-30,Submitted,5,6189,6189,0.0,
flask-29,Submitted,6,9917,9917,0.0,
flask-33,Submitted,3,3368,3368,0.0,
flask-35,Submitted,5,4373,4373,0.0,
flask-36,Submitted,1,1369,1369,0.0,
flask-38,Submitted,4,5382,5382,0.0,
flask-39,Submitted,5,8037,8037,0.0,
flask-40,Submitted,2,2636,2636,0.0,
flask-37,Submitted,4,8350,8350,0.0,
flask-42,Submitted,3,6577,6577,0.0,
flask-44,Submitted,2,2445,2445,0.0,
flask-41,Submitted,8,24030,24030,0.0,
flask-46,Submitted,3,3078,3078,0.0,
flask-45,Submitted,6,9157,9157,0.0,
matplotlib-0,Submitted,1,1576,1576,0.0,
matplotlib-1,Submitted,2,2255,2255,0.0,
flask-43,Submitted,11,31892,31892,0.0,
flask-47,Submitted,9,22340,22340,0.0,
matplotlib-3,Submitted,3,4623,4623,0.0,
matplotlib-4,Submitted,2,2118,2118,0.0,
matplotlib-6,Submitted,3,8375,8375,0.0,
matplotlib-8,Submitted,7,10586,10586,0.0,
matplotlib-2,Submitted,17,55325,55325,0.0,
matplotlib-5,Submitted,6,11415,11415,0.0,
matplotlib-7,Submitted,10,26584,26584,0.0,
matplotlib-9,Submitted,5,8621,8621,0.0,
matplotlib-11,Submitted,4,6484,6484,0.0,
matplotlib-13,Submitted,6,11722,11722,0.0,
matplotlib-14,Submitted,5,7094,7094,0.0,
matplotlib-12,Submitted,20,58691,58691,0.0,
matplotlib-16,Submitted,6,10119,10119,0.0,
matplotlib-17,Submitted,12,26934,26934,0.0,
matplotlib-10,Submitted,35,109533,109533,0.0,
matplotlib-19,Submitted,1,1326,1326,0.0,
matplotlib-18,Submitted,2,2758,2758,0.0,
matplotlib-15,Submitted,31,93999,93999,0.0,
matplotlib-22,Submitted,9,13987,13987,0.0,
matplotlib-23,Submitted,6,9571,9571,0.0,
matplotlib-20,Submitted,20,96739,96739,0.0,
matplotlib-26,Submitted,7,11580,11580,0.0,
matplotlib-25,Submitted,5,7137,7137,0.0,
matplotlib-28,Submitted,1,1453,1453,0.0,
matplotlib-24,Submitted,9,36211,36211,0.0,
matplotlib-29,Submitted,1,627,627,0.0,
matplotlib-21,Submitted,33,159257,159257,0.0,
matplotlib-27,Submitted,1,2613,2613,0.0,
matplotlib-31,Submitted,1,1122,1122,0.0,
matplotlib-32,Submitted,4,3441,3441,0.0,
matplotlib-34,Submitted,4,3465,3465,0.0,
matplotlib-35,Submitted,3,2280,2280,0.0,
matplotlib-33,Submitted,7,7390,7390,0.0,
matplotlib-30,Submitted,3,3921,3921,0.0,
matplotlib-38,Submitted,5,9839,9839,0.0,
matplotlib-39,Submitted,14,27966,27966,0.0,
matplotlib-37,Submitted,11,37561,37561,0.0,
matplotlib-40,Submitted,8,14893,14893,0.0,
matplotlib-36,Submitted,10,31904,31904,0.0,
matplotlib-41,Submitted,6,9240,9240,0.0,
matplotlib-43,Submitted,12,21554,21554,0.0,
matplotlib-44,Submitted,4,6034,6034,0.0,
matplotlib-45,Submitted,5,7949,7949,0.0,
matplotlib-46,Submitted,6,27257,27257,0.0,
matplotlib-47,Submitted,11,21847,21847,0.0,
pylint-1,Submitted,3,2786,2786,0.0,
matplotlib-42,Submitted,15,38418,38418,0.0,
pylint-3,Submitted,4,10999,10999,0.0,
pylint-5,Submitted,6,21791,21791,0.0,
pylint-0,Submitted,13,21711,21711,0.0,
pylint-4,Submitted,4,8201,8201,0.0,
pylint-6,Submitted,3,3470,3470,0.0,
pylint-2,Submitted,8,24553,24553,0.0,
pylint-10,Submitted,2,3237,3237,0.0,
pylint-8,Submitted,6,30486,30486,0.0,
pylint-9,Submitted,10,50223,50223,0.0,
pylint-7,Submitted,11,31403,31403,0.0,
pylint-11,Submitted,2,3580,3580,0.0,
pylint-14,Submitted,5,7613,7613,0.0,
pylint-13,Submitted,5,6785,6785,0.0,
pylint-12,Submitted,17,43677,43677,0.0,
pylint-16,Submitted,5,7214,7214,0.0,
pylint-17,Submitted,15,35618,35618,0.0,
pylint-19,Submitted,4,6548,6548,0.0,
pylint-18,Submitted,10,19901,19901,0.0,
pylint-15,Submitted,20,101387,101387,0.0,
pylint-22,Submitted,2,1897,1897,0.0,
pylint-20,Submitted,12,18565,18565,0.0,
pylint-24,Submitted,2,2696,2696,0.0,
pylint-23,Submitted,18,44607,44607,0.0,
pylint-26,Submitted,9,17117,17117,0.0,
pylint-21,Submitted,25,87596,87596,0.0,
pylint-27,Submitted,5,15239,15239,0.0,
pylint-25,Submitted,6,16511,16511,0.0,
pylint-28,Submitted,4,3962,3962,0.0,
pylint-29,Submitted,3,2994,2994,0.0,
pylint-31,Submitted,2,2173,2173,0.0,
pylint-32,Submitted,2,1997,1997,0.0,
pylint-34,Submitted,2,1259,1259,0.0,
pylint-33,Submitted,2,1698,1698,0.0,
pylint-35,Submitted,2,1869,1869,0.0,
pylint-30,Submitted,1,2610,2610,0.0,
pylint-37,Submitted,4,13326,13326,0.0,
pylint-38,Submitted,7,23531,23531,0.0,
pylint-40,Submitted,9,15149,15149,0.0,
pylint-36,Submitted,9,21897,21897,0.0,
pylint-39,Submitted,7,17821,17821,0.0,
pylint-41,Submitted,6,11119,11119,0.0,
pylint-44,Submitted,8,12852,12852,0.0,
pylint-43,Submitted,8,25058,25058,0.0,
pylint-45,Submitted,9,17586,17586,0.0,
pylint-46,Submitted,6,17336,17336,0.0,
pytest-1,Submitted,1,887,887,0.0,
pylint-47,Submitted,4,10272,10272,0.0,
pylint-42,Submitted,6,13439,13439,0.0,
pytest-3,Submitted,4,4439,4439,0.0,
pytest-5,Submitted,3,2512,2512,0.0,
pytest-2,Submitted,9,33262,33262,0.0,
pytest-7,Submitted,3,2366,2366,0.0,
pytest-0,Submitted,11,30827,30827,0.0,
pytest-4,Submitted,10,16758,16758,0.0,
pytest-6,Submitted,6,11996,11996,0.0,
pytest-8,Submitted,6,11587,11587,0.0,
pytest-9,Submitted,9,28519,28519,0.0,
pytest-10,Submitted,6,10130,10130,0.0,
pytest-14,Submitted,5,7617,7617,0.0,
pytest-13,Submitted,10,37610,37610,0.0,
pytest-15,Submitted,9,18117,18117,0.0,
pytest-12,Submitted,28,75160,75160,0.0,
pytest-16,Submitted,10,25169,25169,0.0,
pytest-18,Submitted,7,10434,10434,0.0,
pytest-19,Submitted,16,34407,34407,0.0,
pytest-11,Submitted,31,170792,170792,0.0,
pytest-21,Submitted,5,5742,5742,0.0,
pytest-23,Submitted,1,1245,1245,0.0,
pytest-22,Submitted,9,13216,13216,0.0,
pytest-20,Submitted,4,8842,8842,0.0,
pytest-24,Submitted,1,2682,2682,0.0,
pytest-27,Submitted,6,7841,7841,0.0,
pytest-26,Submitted,10,44946,44946,0.0,
pytest-29,Submitted,3,3245,3245,0.0,
pytest-30,Submitted,3,2635,2635,0.0,
pytest-31,Submitted,2,1709,1709,0.0,
pytest-28,Submitted,7,10926,10926,0.0,
pytest-17,Submitted,40,228254,228254,0.0,
pytest-34,Submitted,2,1321,1321,0.0,
pytest-33,Submitted,3,3168,3168,0.0,
pytest-25,Submitted,25,77551,77551,0.0,
pytest-35,Submitted,1,667,667,0.0,
pytest-32,Submitted,4,4992,4992,0.0,
pytest-37,Submitted,4,10289,10289,0.0,
pytest-36,Submitted,6,10890,10890,0.0,
pytest-38,Submitted,13,30194,30194,0.0,
pytest-41,Submitted,3,3871,3871,0.0,
pytest-43,Submitted,6,13561,13561,0.0,
pytest-40,Submitted,8,18462,18462,0.0,
pytest-39,Submitted,12,53965,53965,0.0,
pytest-44,Submitted,7,9034,9034,0.0,
pytest-45,Submitted,5,9675,9675,0.0,
pytest-46,Submitted,6,9481,9481,0.0,
pytest-47,Submitted,7,13916,13916,0.0,
pytest-42,Submitted,40,254482,254482,0.0,
reflex-2,Submitted,5,11979,11979,0.0,
reflex-0,Submitted,18,68559,68559,0.0,
reflex-4,Submitted,4,6633,6633,0.0,
reflex-1,Submitted,43,188549,188549,0.0,
reflex-6,Submitted,3,6596,6596,0.0,
reflex-3,Submitted,34,231126,231126,0.0,
reflex-8,Submitted,8,11320,11320,0.0,
reflex-5,Submitted,33,109392,109392,0.0,
reflex-7,Submitted,14,41183,41183,0.0,
reflex-9,Submitted,6,7056,7056,0.0,
reflex-12,Submitted,7,11528,11528,0.0,
reflex-14,Submitted,9,40687,40687,0.0,
reflex-11,Submitted,23,108042,108042,0.0,
reflex-16,Submitted,7,8698,8698,0.0,
reflex-15,Submitted,10,28717,28717,0.0,
reflex-18,Submitted,12,34033,35100,0.0,
reflex-17,Submitted,36,129328,129328,0.0,
reflex-13,Submitted,58,367768,372742,0.0,
reflex-20,Submitted,21,70661,70661,0.0,
reflex-19,Submitted,12,35655,35655,0.0,
reflex-21,Submitted,16,36793,36793,0.0,
reflex-23,Submitted,8,17538,17538,0.0,
reflex-22,Submitted,25,129298,129298,0.0,
reflex-26,Submitted,1,3368,3368,0.0,
reflex-27,Submitted,5,7885,7885,0.0,
reflex-25,Submitted,47,186509,186509,0.0,
reflex-28,Submitted,7,15139,15139,0.0,
reflex-24,Submitted,57,258538,258538,0.0,
reflex-29,Submitted,5,7814,7814,0.0,
reflex-30,Submitted,7,15667,15667,0.0,
reflex-31,Submitted,12,19035,19035,0.0,
reflex-34,Submitted,5,6473,6473,0.0,
reflex-33,Submitted,33,115823,115823,0.0,
reflex-32,Submitted,40,331666,331666,0.0,
reflex-36,Submitted,9,11743,11743,0.0,
reflex-37,Submitted,9,14488,14488,0.0,
reflex-35,Submitted,30,78353,78353,0.0,
reflex-39,Submitted,15,27979,27979,0.0,
reflex-41,Submitted,4,7830,7830,0.0,
reflex-42,Submitted,4,13928,13928,0.0,
reflex-43,Submitted,23,54697,54697,0.0,
reflex-38,Submitted,57,397490,397490,0.0,
reflex-44,Submitted,53,246892,246892,0.0,
reflex-40,Submitted,89,811068,811068,0.0,
reflex-46,Submitted,5,16684,16684,0.0,
reflex-47,Submitted,2,1663,1663,0.0,
requests-0,Submitted,5,4472,4472,0.0,
requests-1,Submitted,4,3626,3626,0.0,
reflex-10,Submitted,74,575445,584148,0.0,
requests-2,Submitted,3,2349,2349,0.0,
requests-4,Submitted,7,16010,16010,0.0,
requests-3,Submitted,5,8330,8330,0.0,
requests-5,Submitted,5,8032,8032,0.0,
requests-6,Submitted,3,3226,3226,0.0,
requests-7,Submitted,4,3554,3554,0.0,
requests-9,Submitted,2,2924,2924,0.0,
requests-8,Submitted,5,17821,17821,0.0,
requests-10,Submitted,4,6021,6021,0.0,
requests-13,Submitted,3,2996,2996,0.0,
requests-12,Submitted,5,6921,6921,0.0,
requests-11,Submitted,2,2928,2928,0.0,
requests-15,Submitted,3,5017,5017,0.0,
requests-14,Submitted,4,5774,5774,0.0,
requests-16,Submitted,1,1772,1772,0.0,
requests-17,Submitted,3,3411,3411,0.0,
requests-19,Submitted,5,6017,6017,0.0,
requests-18,Submitted,1,1973,1973,0.0,
requests-20,Submitted,5,7645,7645,0.0,
reflex-45,Submitted,77,585462,585462,0.0,
requests-22,Submitted,2,2307,2307,0.0,
requests-23,Submitted,3,3847,3847,0.0,
requests-21,Submitted,5,6649,6649,0.0,
requests-27,Submitted,4,4394,4394,0.0,
requests-24,Submitted,5,9819,9819,0.0,
requests-26,Submitted,2,2348,2348,0.0,
requests-30,Submitted,1,701,701,0.0,
requests-28,Submitted,3,2301,2301,0.0,
requests-25,Submitted,7,10719,10719,0.0,
requests-31,Submitted,3,2140,2140,0.0,
requests-32,Submitted,3,2397,2397,0.0,
requests-33,Submitted,3,3596,3596,0.0,
requests-34,Submitted,3,2667,2667,0.0,
requests-35,Submitted,2,1345,1345,0.0,
requests-38,Submitted,4,6220,6220,0.0,
requests-37,Submitted,1,1678,1678,0.0,
requests-29,Submitted,6,12277,12277,0.0,
requests-36,Submitted,1,2104,2104,0.0,
requests-39,Submitted,2,1699,1699,0.0,
requests-41,Submitted,6,22570,22570,0.0,
requests-42,Submitted,5,7891,7891,0.0,
requests-43,Submitted,4,5930,5930,0.0,
requests-40,Submitted,5,8630,8630,0.0,
requests-44,Submitted,5,5994,5994,0.0,
requests-46,Submitted,5,6691,6691,0.0,
requests-45,Submitted,11,23636,23636,0.0,
requests-47,Submitted,6,17313,17313,0.0,
scikit-learn-2,Submitted,4,4989,4989,0.0,
scikit-learn-3,Submitted,2,1715,1715,0.0,
scikit-learn-1,Submitted,2,2687,2687,0.0,
scikit-learn-0,Submitted,5,11932,11932,0.0,
scikit-learn-5,Submitted,1,1152,1152,0.0,
scikit-learn-7,Submitted,1,847,847,0.0,
scikit-learn-6,Submitted,1,1438,1438,0.0,
scikit-learn-8,Submitted,9,21431,21431,0.0,
scikit-learn-4,Submitted,10,17945,17945,0.0,
scikit-learn-10,Submitted,5,6288,6288,0.0,
scikit-learn-9,Submitted,4,5426,5426,0.0,
scikit-learn-14,Submitted,4,5157,5157,0.0,
scikit-learn-12,Submitted,1,2839,2839,0.0,
scikit-learn-16,Submitted,3,3406,3406,0.0,
scikit-learn-11,Submitted,13,24508,24508,0.0,
scikit-learn-13,Submitted,18,27322,27322,0.0,
scikit-learn-15,Submitted,10,25615,25615,0.0,
scikit-learn-18,Submitted,3,8971,8971,0.0,
scikit-learn-17,Submitted,1,2408,2408,0.0,
scikit-learn-20,Submitted,6,8435,8435,0.0,
scikit-learn-21,Submitted,6,11165,11165,0.0,
scikit-learn-23,Submitted,6,10131,10131,0.0,
scikit-learn-19,Submitted,20,56693,56693,0.0,
scikit-learn-22,Submitted,18,32940,32940,0.0,
scikit-learn-27,Submitted,4,5322,5322,0.0,
scikit-learn-26,Submitted,3,2913,2913,0.0,
scikit-learn-29,Submitted,1,619,619,0.0,
scikit-learn-28,Submitted,1,746,746,0.0,
scikit-learn-31,Submitted,1,654,654,0.0,
scikit-learn-30,Submitted,1,765,765,0.0,
scikit-learn-32,Submitted,3,3479,3479,0.0,
scikit-learn-33,Submitted,3,2278,2278,0.0,
scikit-learn-35,Submitted,4,4375,4375,0.0,
scikit-learn-34,Submitted,4,4353,4353,0.0,
scikit-learn-24,Submitted,29,80574,80574,0.0,
scikit-learn-36,Submitted,3,5494,5494,0.0,
scikit-learn-37,Submitted,5,18215,18215,0.0,
scikit-learn-38,Submitted,6,10192,10192,0.0,
scikit-learn-40,Submitted,4,4359,4359,0.0,
scikit-learn-41,Submitted,1,2158,2158,0.0,
scikit-learn-39,Submitted,12,47780,47780,0.0,
scikit-learn-42,Submitted,25,56556,56556,0.0,
scikit-learn-45,Submitted,6,9387,9387,0.0,
scikit-learn-25,Submitted,50,361194,361194,0.0,
scikit-learn-43,Submitted,2,7040,7040,0.0,
scikit-learn-46,Submitted,4,4775,4775,0.0,
scikit-learn-44,Submitted,24,84262,84262,0.0,
scikit-learn-47,Submitted,5,10076,10076,0.0,
sphinx-2,Submitted,4,8048,8048,0.0,
sphinx-3,Submitted,1,1797,1797,0.0,
sphinx-0,Submitted,2,3655,3655,0.0,
sphinx-1,Submitted,5,10145,10145,0.0,
sphinx-4,Submitted,3,2887,2887,0.0,
sphinx-7,Submitted,3,2747,2747,0.0,
sphinx-5,Submitted,4,5348,5348,0.0,
sphinx-8,Submitted,4,4819,4819,0.0,
sphinx-6,Submitted,2,2506,2506,0.0,
sphinx-11,Submitted,6,14578,14578,0.0,
sphinx-10,Submitted,4,14900,14900,0.0,
sphinx-12,Submitted,7,10502,10502,0.0,
sphinx-9,Submitted,7,11799,11799,0.0,
sphinx-14,Submitted,4,7832,7832,0.0,
sphinx-15,Submitted,3,8783,8783,0.0,
sphinx-13,Submitted,2,3232,3232,0.0,
sphinx-17,Submitted,1,2218,2218,0.0,
sphinx-18,Submitted,9,13414,13414,0.0,
sphinx-19,Submitted,10,22013,22013,0.0,
sphinx-16,Submitted,8,12013,12013,0.0,
sphinx-20,Submitted,1,1807,1807,0.0,
sphinx-22,Submitted,1,2700,2700,0.0,
sphinx-21,Submitted,6,9870,9870,0.0,
sphinx-23,Submitted,6,14232,14232,0.0,
sphinx-26,Submitted,3,2399,2399,0.0,
sphinx-24,Submitted,6,10571,10571,0.0,
sphinx-29,Submitted,1,657,657,0.0,
sphinx-28,Submitted,9,26403,26403,0.0,
sphinx-30,Submitted,2,4215,4215,0.0,
sphinx-32,Submitted,4,3713,3713,0.0,
sphinx-27,Submitted,9,26187,26187,0.0,
sphinx-25,Submitted,9,24002,24002,0.0,
sphinx-31,Submitted,1,2258,2258,0.0,
sphinx-35,Submitted,3,3330,3330,0.0,
sphinx-36,Submitted,3,9568,9568,0.0,
sphinx-38,Submitted,4,12773,12773,0.0,
sphinx-33,Submitted,17,55016,55016,0.0,
sphinx-37,Submitted,10,23638,23638,0.0,
sphinx-39,Submitted,7,19391,19391,0.0,
sphinx-40,Submitted,4,10327,10327,0.0,
sphinx-41,Submitted,2,2275,2275,0.0,
sphinx-42,Submitted,1,1919,1919,0.0,
sphinx-43,Submitted,8,17150,17150,0.0,
sphinx-44,Submitted,8,16946,16946,0.0,
sphinx-45,Submitted,8,17848,17848,0.0,
sphinx-47,Submitted,5,12755,12755,0.0,
sphinx-46,Submitted,4,13847,13847,0.0,
sqlfluff-0,Submitted,6,12550,12550,0.0,
sqlfluff-2,Submitted,2,2857,2857,0.0,
sqlfluff-1,Submitted,8,13178,13178,0.0,
sqlfluff-4,Submitted,3,3827,3827,0.0,
sqlfluff-6,Submitted,3,2671,2671,0.0,
sqlfluff-3,Submitted,11,25332,25332,0.0,
sqlfluff-7,Submitted,3,3634,3634,0.0,
sqlfluff-5,Submitted,3,4890,4890,0.0,
sqlfluff-8,Submitted,5,6724,6724,0.0,
sqlfluff-10,Submitted,4,13390,13390,0.0,
sqlfluff-9,Submitted,4,5794,5794,0.0,
sqlfluff-11,Submitted,7,16055,16055,0.0,
sphinx-34,Submitted,79,854743,854743,0.0,
sqlfluff-12,Submitted,6,11333,11333,0.0,
sqlfluff-14,Submitted,3,4466,4466,0.0,
sqlfluff-16,Submitted,3,3664,3664,0.0,
sqlfluff-15,Submitted,1,1988,1988,0.0,
sqlfluff-18,Submitted,4,4745,4745,0.0,
sqlfluff-17,Submitted,7,13456,13456,0.0,
sqlfluff-19,Submitted,3,6403,6403,0.0,
sqlfluff-21,Submitted,1,2154,2154,0.0,
sqlfluff-20,Submitted,11,24544,24544,0.0,
sqlfluff-13,Submitted,20,93366,93366,0.0,
sqlfluff-23,Submitted,5,5584,5584,0.0,
sqlfluff-25,Submitted,3,3876,3876,0.0,
sqlfluff-24,Submitted,4,14786,14786,0.0,
sqlfluff-28,Submitted,3,2964,2964,0.0,
sqlfluff-27,Submitted,5,14049,14049,0.0,
sqlfluff-30,Submitted,2,1639,1639,0.0,
sqlfluff-26,Submitted,5,9183,9183,0.0,
sqlfluff-22,Submitted,4,9910,9910,0.0,
sqlfluff-29,Submitted,4,4299,4299,0.0,
sqlfluff-32,Submitted,3,2964,2964,0.0,
sqlfluff-34,Submitted,2,1433,1433,0.0,
sqlfluff-33,Submitted,4,4439,4439,0.0,
sqlfluff-35,Submitted,10,17401,17401,0.0,
sqlfluff-31,Submitted,15,67641,67641,0.0,
sqlfluff-36,Submitted,4,6514,6514,0.0,
sqlfluff-37,Submitted,6,19955,19955,0.0,
sqlfluff-39,Submitted,4,7951,7951,0.0,
sqlfluff-38,Submitted,4,8820,8820,0.0,
sqlfluff-42,Submitted,4,9928,9928,0.0,
sqlfluff-43,Submitted,4,6383,6383,0.0,
sqlfluff-45,Submitted,4,4757,4757,0.0,
sqlfluff-41,Submitted,9,41932,41932,0.0,
sqlfluff-44,Submitted,8,15829,15829,0.0,
sqlfluff-46,Submitted,3,3228,3228,0.0,
